city,state_name,lat,lng
South Hill,Washington,47.1203,-122.2848
Yakima,Washington,46.5923,-120.5496
Shoreline,Washington,47.7564,-122.3426
Seattle,Washington,47.6211,-122.3244
Everett,Washington,47.9524,-122.167
Wenatchee,Washington,47.4338,-120.3286
Bellevue,Washington,47.5953,-122.155
Olympia,Washington,47.0417,-122.8959
Longview,Washington,46.146,-122.963
Richland,Washington,46.2826,-119.2937
Vancouver,Washington,45.6367,-122.597
Kent,Washington,47.3887,-122.2128
Burien,Washington,47.4762,-122.3393
Marysville,Washington,48.081,-122.1558
Walla Walla,Washington,46.0669,-118.3365
Spokane Valley,Washington,47.6625,-117.2346
Kirkland,Washington,47.6997,-122.2041
Sammamish,Washington,47.6019,-122.0419
Lakewood,Washington,47.1628,-122.5299
Spokane,Washington,47.6671,-117.433
Pasco,Washington,46.2506,-119.1303
Auburn,Washington,47.3041,-122.211
Federal Way,Washington,47.309,-122.3359
Bellingham,Washington,48.7543,-122.4687
Bremerton,Washington,47.5436,-122.7121
Tacoma,Washington,47.2431,-122.4531
Renton,Washington,47.4758,-122.1905
Kennewick,Washington,46.1979,-119.1732
Mount Vernon,Washington,48.4202,-122.3116
Redmond,Washington,47.6762,-122.1169
Wilmington,Delaware,39.7415,-75.5413
Dover,Delaware,39.161,-75.5203
Washington,District of Columbia,38.9047,-77.0163
Wausau,Wisconsin,44.9615,-89.6457
Appleton,Wisconsin,44.2774,-88.3894
West Bend,Wisconsin,43.4184,-88.1823
Beloit,Wisconsin,42.523,-89.0184
Green Bay,Wisconsin,44.515,-87.9896
Madison,Wisconsin,43.0827,-89.3923
West Allis,Wisconsin,43.0068,-88.0296
Fond du Lac,Wisconsin,43.7718,-88.4397
Kenosha,Wisconsin,42.5864,-87.8762
Racine,Wisconsin,42.7274,-87.8135
Milwaukee,Wisconsin,43.0642,-87.9673
Sheboygan,Wisconsin,43.7403,-87.7316
Waukesha,Wisconsin,43.0087,-88.2464
La Crosse,Wisconsin,43.8241,-91.2268
Janesville,Wisconsin,42.6855,-89.0136
Oshkosh,Wisconsin,44.0228,-88.5617
Eau Claire,Wisconsin,44.82,-91.4951
Charleston,West Virginia,38.3484,-81.6323
Beckley,West Virginia,37.7877,-81.184
Wheeling,West Virginia,40.0751,-80.6951
Morgantown,West Virginia,39.6379,-79.9468
Huntington,West Virginia,38.4109,-82.4344
Weirton,West Virginia,40.406,-80.5671
Parkersburg,West Virginia,39.2624,-81.5419
Honolulu,Hawaii,21.3294,-157.846
Sanford,Florida,28.7893,-81.276
Tamarac,Florida,26.2057,-80.2549
Palm Beach Gardens,Florida,26.8486,-80.166
Tampa,Florida,27.9942,-82.4451
Margate,Florida,26.2466,-80.2119
Plantation,Florida,26.126,-80.2617
Coconut Creek,Florida,26.2802,-80.1842
Pensacola,Florida,30.4427,-87.1886
Miami Gardens,Florida,25.9433,-80.2426
Largo,Florida,27.9088,-82.7712
Hollywood,Florida,26.0294,-80.1679
Kissimmee,Florida,28.3042,-81.4164
Brandon,Florida,27.9367,-82.3
The Hammocks,Florida,25.67,-80.4483
Poinciana,Florida,28.1217,-81.482
Orlando,Florida,28.4772,-81.3369
St. Petersburg,Florida,27.793,-82.6652
Titusville,Florida,28.5727,-80.8193
Daytona Beach,Florida,29.1994,-81.0982
Jupiter,Florida,26.9199,-80.1128
Riverview,Florida,27.8227,-82.3023
Fort Myers,Florida,26.6195,-81.8303
Zephyrhills,Florida,28.2405,-82.1796
The Villages,Florida,28.9021,-81.9888
Spring Hill,Florida,28.4797,-82.53
Pine Hills,Florida,28.5818,-81.4693
Lehigh Acres,Florida,26.612,-81.6388
Sunrise,Florida,26.1547,-80.2997
Pinellas Park,Florida,27.8589,-82.7076
Port Orange,Florida,29.1084,-81.0137
Clearwater,Florida,27.9788,-82.7624
Homestead,Florida,25.4665,-80.4472
Fountainebleau,Florida,25.7723,-80.3458
Ocala,Florida,29.178,-82.1511
North Port,Florida,27.0577,-82.1975
Palm Bay,Florida,27.955,-80.6628
Apopka,Florida,28.7013,-81.5303
North Miami,Florida,25.9007,-80.1686
Winter Haven,Florida,28.0118,-81.7017
St. Augustine,Florida,29.8977,-81.31
Hialeah,Florida,25.8696,-80.3046
Sarasota,Florida,27.3386,-82.543
Miami Beach,Florida,25.8171,-80.1396
Cape Coral,Florida,26.6445,-81.9955
Tallahassee,Florida,30.4551,-84.2527
Deltona,Florida,28.905,-81.2136
Delray Beach,Florida,26.455,-80.0905
Wellington,Florida,26.6464,-80.2706
Lauderhill,Florida,26.1605,-80.2242
Tamiami,Florida,25.7556,-80.4016
Pembroke Pines,Florida,26.0128,-80.3382
Doral,Florida,25.8151,-80.3565
Wesley Chapel,Florida,28.2106,-82.3238
Jacksonville,Florida,30.3322,-81.6749
Sebring,Florida,27.477,-81.453
Melbourne,Florida,28.1085,-80.6627
Port Charlotte,Florida,26.9918,-82.114
Panama City,Florida,30.1995,-85.6003
Coral Springs,Florida,26.2702,-80.2591
Gainesville,Florida,29.6804,-82.3458
Palm Coast,Florida,29.5392,-81.246
Alafaya,Florida,28.5278,-81.1865
Coral Gables,Florida,25.7037,-80.2715
Boynton Beach,Florida,26.5281,-80.0811
Town 'n' Country,Florida,28.0108,-82.576
Davie,Florida,26.0789,-80.287
Port St. Lucie,Florida,27.2796,-80.3884
Kendall,Florida,25.6697,-80.3556
Leesburg,Florida,28.7658,-81.8995
Bradenton,Florida,27.49,-82.574
Palm Harbor,Florida,28.0847,-82.7481
St. Cloud,Florida,28.2294,-81.2829
Fort Lauderdale,Florida,26.1412,-80.1464
Kendale Lakes,Florida,25.7081,-80.4078
Miramar,Florida,25.9773,-80.3351
Miami,Florida,25.7839,-80.2102
West Palm Beach,Florida,26.7469,-80.1316
Boca Raton,Florida,26.3749,-80.1077
Pompano Beach,Florida,26.2428,-80.1312
Deerfield Beach,Florida,26.3049,-80.1277
Bonita Springs,Florida,26.3559,-81.7861
Weston,Florida,26.1007,-80.4054
Lakeland,Florida,28.0557,-81.9545
Cheyenne,Wyoming,41.1405,-104.7927
Casper,Wyoming,42.842,-106.3207
Portsmouth,New Hampshire,43.058,-70.7826
Dover,New Hampshire,43.1887,-70.8845
Manchester,New Hampshire,42.9848,-71.4447
Nashua,New Hampshire,42.7491,-71.491
Trenton,New Jersey,40.2236,-74.7641
Elizabeth,New Jersey,40.6657,-74.1912
East Orange,New Jersey,40.7651,-74.2117
Jersey City,New Jersey,40.7161,-74.0683
Perth Amboy,New Jersey,40.5203,-74.2724
Newark,New Jersey,40.7245,-74.1725
Passaic,New Jersey,40.8574,-74.1282
Atlantic City,New Jersey,39.3797,-74.4527
Hoboken,New Jersey,40.7451,-74.0279
Vineland,New Jersey,39.4653,-74.9981
West New York,New Jersey,40.7856,-74.0093
Paterson,New Jersey,40.9147,-74.1624
New Brunswick,New Jersey,40.487,-74.445
Plainfield,New Jersey,40.6154,-74.4157
Bayonne,New Jersey,40.6661,-74.1142
Union City,New Jersey,40.7674,-74.0323
Camden,New Jersey,39.9362,-75.1073
Clifton,New Jersey,40.8631,-74.1575
Albuquerque,New Mexico,35.1053,-106.6464
Rio Rancho,New Mexico,35.2872,-106.6981
Farmington,New Mexico,36.7555,-108.1823
Las Cruces,New Mexico,32.3265,-106.7893
Los Lunas,New Mexico,34.8115,-106.7803
Santa Fe,New Mexico,35.6619,-105.9819
Lake Jackson,Texas,29.0516,-95.4521
Brownsville,Texas,25.998,-97.4565
McKinney,Texas,33.2016,-96.6669
Texas City,Texas,29.4128,-94.9658
College Station,Texas,30.5852,-96.296
North Richland Hills,Texas,32.8605,-97.218
New Braunfels,Texas,29.6997,-98.1148
Round Rock,Texas,30.5254,-97.6659
McAllen,Texas,26.2273,-98.2471
Victoria,Texas,28.8285,-96.985
Wichita Falls,Texas,33.9072,-98.529
Pearland,Texas,29.5585,-95.3215
Rowlett,Texas,32.9157,-96.5488
Irving,Texas,32.8584,-96.9702
Euless,Texas,32.8508,-97.0799
Pharr,Texas,26.1685,-98.1904
Dallas,Texas,32.7936,-96.7662
Edinburg,Texas,26.3197,-98.1596
El Paso,Texas,31.8479,-106.4309
Denton,Texas,33.2176,-97.1419
Sugar Land,Texas,29.5935,-95.6357
Amarillo,Texas,35.1989,-101.831
San Angelo,Texas,31.4426,-100.4501
San Marcos,Texas,29.8736,-97.938
Pasadena,Texas,29.6584,-95.1499
San Antonio,Texas,29.4658,-98.5254
Garland,Texas,32.91,-96.6305
Pflugerville,Texas,30.4525,-97.602
Mansfield,Texas,32.569,-97.1211
Grand Prairie,Texas,32.687,-97.0209
Longview,Texas,32.5192,-94.7622
Lubbock,Texas,33.5642,-101.8871
Killeen,Texas,31.0755,-97.7297
Cedar Park,Texas,30.5105,-97.8197
Beaumont,Texas,30.085,-94.1451
DeSoto,Texas,32.5992,-96.8633
Mesquite,Texas,32.7623,-96.5889
Allen,Texas,33.1088,-96.6735
Missouri City,Texas,29.563,-95.5365
Sherman,Texas,33.6266,-96.6195
Spring,Texas,30.0613,-95.383
Corpus Christi,Texas,27.7261,-97.3755
Odessa,Texas,31.8831,-102.3406
Port Arthur,Texas,29.8554,-93.9264
Lewisville,Texas,33.0452,-96.9823
Carrollton,Texas,32.989,-96.8999
Eagle Pass,Texas,28.7125,-100.484
Texarkana,Texas,33.4487,-94.0815
Plano,Texas,33.0502,-96.7487
Mission,Texas,26.204,-98.3251
Bryan,Texas,30.6657,-96.3668
Arlington,Texas,32.6998,-97.1251
Harlingen,Texas,26.1916,-97.6976
Frisco,Texas,33.1554,-96.8217
Conroe,Texas,30.3224,-95.482
Abilene,Texas,32.4543,-99.7384
Temple,Texas,31.1076,-97.3894
Atascocita,Texas,29.9777,-95.1953
Flower Mound,Texas,33.0344,-97.1147
Houston,Texas,29.7869,-95.3905
Tyler,Texas,32.3184,-95.3065
The Woodlands,Texas,30.1738,-95.5134
Austin,Texas,30.3006,-97.7517
Georgetown,Texas,30.6668,-97.6953
Baytown,Texas,29.7586,-94.9669
Midland,Texas,32.0249,-102.1137
League City,Texas,29.4874,-95.1087
Fort Worth,Texas,32.7812,-97.3472
Waco,Texas,31.5597,-97.1882
Grapevine,Texas,32.9343,-97.0744
Laredo,Texas,27.5617,-99.4874
Richardson,Texas,32.9717,-96.7092
New Orleans,Louisiana,30.0687,-89.9288
Hammond,Louisiana,30.5061,-90.4563
Baton Rouge,Louisiana,30.4419,-91.131
Metairie,Louisiana,29.9976,-90.1781
Houma,Louisiana,29.5799,-90.7058
Mandeville,Louisiana,30.375,-90.0906
Bossier City,Louisiana,32.5227,-93.6667
Alexandria,Louisiana,31.2923,-92.4702
Monroe,Louisiana,32.5183,-92.0775
Kenner,Louisiana,30.0109,-90.2549
Slidell,Louisiana,30.2881,-89.7826
Lafayette,Louisiana,30.2084,-92.0323
Shreveport,Louisiana,32.4659,-93.7959
Lake Charles,Louisiana,30.2022,-93.2141
Fairbanks,Alaska,64.8353,-147.6534
Anchorage,Alaska,61.1508,-149.1091
High Point,North Carolina,35.9905,-79.9937
Concord,North Carolina,35.3932,-80.6363
Greenville,North Carolina,35.5956,-77.3768
Huntersville,North Carolina,35.4057,-80.8729
Goldsboro,North Carolina,35.3777,-77.972
Burlington,North Carolina,36.0762,-79.4687
Durham,North Carolina,35.9795,-78.9032
Apex,North Carolina,35.7246,-78.8698
Hickory,North Carolina,35.7426,-81.323
Cary,North Carolina,35.7817,-78.8175
Raleigh,North Carolina,35.8324,-78.6438
Wilmington,North Carolina,34.2101,-77.886
Asheville,North Carolina,35.5704,-82.5537
Charlotte,North Carolina,35.2079,-80.8304
Jacksonville,North Carolina,34.7287,-77.394
Fayetteville,North Carolina,35.0846,-78.9776
Chapel Hill,North Carolina,35.927,-79.0391
Winston-Salem,North Carolina,36.1029,-80.261
New Bern,North Carolina,35.0955,-77.0723
Gastonia,North Carolina,35.2494,-81.1853
Rocky Mount,North Carolina,35.9676,-77.8047
Greensboro,North Carolina,36.0956,-79.8268
Bismarck,North Dakota,46.814,-100.7695
Grand Forks,North Dakota,47.9221,-97.0887
Fargo,North Dakota,46.8653,-96.8292
Grand Island,Nebraska,40.9214,-98.3584
Omaha,Nebraska,41.2628,-96.0498
Lincoln,Nebraska,40.8088,-96.6796
Bellevue,Nebraska,41.1536,-95.9357
Kingsport,Tennessee,36.5224,-82.5452
Morristown,Tennessee,36.2047,-83.3005
Hendersonville,Tennessee,36.3063,-86.5998
Clarksville,Tennessee,36.5696,-87.3428
Franklin,Tennessee,35.9216,-86.8525
Jackson,Tennessee,35.6536,-88.8353
Murfreesboro,Tennessee,35.8493,-86.4117
Knoxville,Tennessee,35.9692,-83.9496
Johnson City,Tennessee,36.3406,-82.3803
